EVENT_ID,CZ_NAME_STR,BEGIN_DATE,EPISODE_ID,CZ_FIPS,WFO
5721830,SOUTHERN SAN JOAQUIN VALLEY (ZONE),12/1/1999,2413935,21,HNX
5721829,CENTRAL SAN JOAQUIN VALLEY (ZONE),12/1/1999,2413935,20,HNX
5160649,SE SJ VALLEY (ZONE),11/1/2000,1104858,92,HNX
5160651,TULARE CTY MTNS (ZONE),11/1/2000,1104858,97,HNX
5160648,E CENTRAL SJ VALLEY (ZONE),11/1/2000,1104858,90,HNX
5160650,S SIERRA MTNS (ZONE),11/1/2000,1104858,96,HNX
5168094,S SIERRA MTNS (ZONE),12/1/2000,1105679,96,HNX
5168093,SE SJ VALLEY (ZONE),12/1/2000,1105679,92,HNX
5168092,E CENTRAL SJ VALLEY (ZONE),12/1/2000,1105679,90,HNX
5168095,TULARE CTY MTNS (ZONE),12/1/2000,1105679,97,HNX
5230140,S SIERRA MTNS (ZONE),1/1/2001,1110639,96,HNX
5233159,MARIPOSA CO.,2/28/2001,1111282,43,HNX
5238042,S SIERRA MTNS (ZONE),3/31/2001,1112584,96,HNX
5245734,S SIERRA MTNS (ZONE),6/30/2001,1114458,96,HNX
5316325,FRESNO CO.,9/1/2002,1143249,19,HNX
5341867,S SIERRA MTNS (ZONE),1/1/2003,1146985,96,HNX
5341868,SE S.J. VALLEY (ZONE),1/1/2003,1146985,92,HNX
5341866,E CENTRAL S.J. VALLEY (ZONE),1/1/2003,1146985,90,HNX
5342722,TULARE CTY MTNS (ZONE),2/1/2003,1147496,97,HNX
5342721,S SIERRA MTNS (ZONE),2/1/2003,1147496,96,HNX
5412095,SE S.J. VALLEY (ZONE),8/1/2004,1175960,92,HNX
5412096,E CENTRAL S.J. VALLEY (ZONE),8/1/2004,1175960,90,HNX
5412097,W CENTRAL S.J. VALLEY (ZONE),8/1/2004,1175960,89,HNX
5412098,SW S.J. VALLEY (ZONE),8/1/2004,1175960,91,HNX
5422816,KERN CTY MTNS (ZONE),9/1/2004,1180285,95,HNX
5422817,TULARE CTY MTNS (ZONE),9/1/2004,1180285,97,HNX
5422818,E CENTRAL S.J. VALLEY (ZONE),9/1/2004,1180285,90,HNX
5426954,SAN DIEGO COUNTY COASTS (ZONE),10/16/2004,1181461,43,SGX
44668,SAN DIEGO COUNTY COASTAL AREAS (ZONE),6/1/2007,7763,43,SGX
44661,SAN BERNARDINO COUNTY MOUNTAINS (ZONE),6/1/2007,7763,55,SGX
44660,SANTA ANA MOUNTAINS AND FOOTHILLS (ZONE),6/1/2007,7763,57,SGX
44657,APPLE AND LUCERNE VALLEYS (ZONE),6/1/2007,7763,60,SGX
44664,SAN DIEGO COUNTY MOUNTAINS (ZONE),6/1/2007,7763,58,SGX
44662,RIVERSIDE COUNTY MOUNTAINS (ZONE),6/1/2007,7763,56,SGX
44659,SAN DIEGO COUNTY DESERTS (ZONE),6/1/2007,7763,62,SGX
44658,COACHELLA VALLEY (ZONE),6/1/2007,7763,61,SGX
44667,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),6/1/2007,7763,48,SGX
44665,ORANGE COUNTY COASTAL AREAS (ZONE),6/1/2007,7763,42,SGX
44669,SAN DIEGO COUNTY VALLEYS (ZONE),6/1/2007,7763,50,SGX
52725,COACHELLA VALLEY (ZONE),7/1/2007,9381,61,SGX
52723,APPLE AND LUCERNE VALLEYS (ZONE),7/1/2007,9381,60,SGX
52730,SAN DIEGO COUNTY MOUNTAINS (ZONE),7/1/2007,9381,58,SGX
52729,RIVERSIDE COUNTY MOUNTAINS (ZONE),7/1/2007,9381,56,SGX
52728,SAN BERNARDINO COUNTY MOUNTAINS (ZONE),7/1/2007,9381,55,SGX
52733,SAN DIEGO COUNTY COASTAL AREAS (ZONE),7/1/2007,9381,43,SGX
52732,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),7/1/2007,9381,48,SGX
52731,ORANGE COUNTY COASTAL AREAS (ZONE),7/1/2007,9381,42,SGX
52734,SAN DIEGO COUNTY VALLEYS (ZONE),7/1/2007,9381,50,SGX
52727,SANTA ANA MOUNTAINS AND FOOTHILLS (ZONE),7/1/2007,9381,57,SGX
52726,SAN DIEGO COUNTY DESERTS (ZONE),7/1/2007,9381,62,SGX
59500,SAN BERNARDINO COUNTY MOUNTAINS (ZONE),8/1/2007,10701,55,SGX
59498,SANTA ANA MOUNTAINS AND FOOTHILLS (ZONE),8/1/2007,10701,57,SGX
59506,SAN DIEGO COUNTY VALLEYS (ZONE),8/1/2007,10701,50,SGX
59505,SAN DIEGO COUNTY COASTAL AREAS (ZONE),8/1/2007,10701,43,SGX
59497,SAN DIEGO COUNTY DESERTS (ZONE),8/1/2007,10701,62,SGX
59496,COACHELLA VALLEY (ZONE),8/1/2007,10701,61,SGX
59494,APPLE AND LUCERNE VALLEYS (ZONE),8/1/2007,10701,60,SGX
59504,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),8/1/2007,10701,48,SGX
59503,ORANGE COUNTY COASTAL AREAS (ZONE),8/1/2007,10701,42,SGX
59502,SAN DIEGO COUNTY MOUNTAINS (ZONE),8/1/2007,10701,58,SGX
59501,RIVERSIDE COUNTY MOUNTAINS (ZONE),8/1/2007,10701,56,SGX
60728,ORANGE COUNTY COASTAL AREAS (ZONE),9/1/2007,11029,42,SGX
60727,SAN DIEGO COUNTY MOUNTAINS (ZONE),9/1/2007,11029,58,SGX
60726,RIVERSIDE COUNTY MOUNTAINS (ZONE),9/1/2007,11029,56,SGX
60725,SAN BERNARDINO COUNTY MOUNTAINS (ZONE),9/1/2007,11029,55,SGX
60721,APPLE AND LUCERNE VALLEYS (ZONE),9/1/2007,11029,60,SGX
60724,SANTA ANA MOUNTAINS AND FOOTHILLS (ZONE),9/1/2007,11029,57,SGX
60723,SAN DIEGO COUNTY DESERTS (ZONE),9/1/2007,11029,62,SGX
60722,COACHELLA VALLEY (ZONE),9/1/2007,11029,61,SGX
60730,SAN DIEGO COUNTY COASTAL AREAS (ZONE),9/1/2007,11029,43,SGX
60731,SAN DIEGO COUNTY VALLEYS (ZONE),9/1/2007,11029,50,SGX
60729,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),9/1/2007,11029,48,SGX
64405,SAN DIEGO COUNTY VALLEYS (ZONE),10/1/2007,11710,50,SGX
64398,ORANGE COUNTY COASTAL AREAS (ZONE),10/1/2007,11710,42,SGX
64404,SAN DIEGO COUNTY MOUNTAINS (ZONE),10/1/2007,11710,58,SGX
64406,SANTA ANA MOUNTAINS AND FOOTHILLS (ZONE),10/1/2007,11710,57,SGX
64399,RIVERSIDE COUNTY MOUNTAINS (ZONE),10/1/2007,11710,56,SGX
64400,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE),10/1/2007,11710,48,SGX
64401,SAN BERNARDINO COUNTY MOUNTAINS (ZONE),10/1/2007,11710,55,SGX
64403,SAN DIEGO COUNTY DESERTS (ZONE),10/1/2007,11710,62,SGX
64396,APPLE AND LUCERNE VALLEYS (ZONE),10/1/2007,11710,60,SGX
64402,SAN DIEGO COUNTY COASTAL AREAS (ZONE),10/1/2007,11710,43,SGX
64397,COACHELLA VALLEY (ZONE),10/1/2007,11710,61,SGX
65328,SAN BERNARDINO COUNTY MOUNTAINS (ZONE),11/1/2007,11912,55,SGX
