EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EPISODE_ID,CZ_FIPS,WFO
5542747,LOS ANGELES CO.,CALABASAS,3/14/1996,1600,2029375,37,LOX
5557948,SAN BERNARDINO CO.,TWENTY NINE PALMS,7/27/1996,1600,2042741,71,VEF
5568258,RIVERSIDE CO.,MORENO VALLEY,8/23/1996,1400,2043641,65,LOX
5578419,TULARE CO.,TULARE,11/22/1996,1050,2055405,107,HNX
5596656,KERN CO.,BAKERSFIELD,3/22/1997,1630,2060552,29,HNX
5596657,KERN CO.,WASCO,3/22/1997,1651,2060553,29,HNX
5592701,SAN DIEGO CO.,SAN DIEGO,4/2/1997,1230,2061488,73,SGX
5600704,LOS ANGELES CO.,LAKE HUGHES,5/12/1997,1845,2062670,37,LOX
5608766,FRESNO CO.,FRESNO,5/19/1997,1430,2065585,19,HNX
5611640,LASSEN CO.,EAGLE LAKE RESORT,7/26/1997,1546,2066511,35,REV
5624144,SAN JOAQUIN CO.,LODI,8/19/1997,1130,2071746,77,STO
5617521,KERN CO.,TEHACHAPI,9/2/1997,645,2069872,29,HNX
5627634,FRESNO CO.,SELMA,1/29/1998,1300,2072575,19,HNX
5632995,HUMBOLDT CO.,LOLETA,2/3/1998,900,2074411,23,EKA
5631309,ORANGE CO.,IRVINE,2/6/1998,1300,2073010,59,SGX
5637603,MARIPOSA CO.,USONA,2/7/1998,2030,2074984,43,HNX
5639271,FRESNO CO.,(FAT) AIR TERMINAL,2/14/1998,1700,2074948,19,HNX
5637611,MERCED CO.,MERCED,3/24/1998,1400,2074987,47,HNX
5637614,FRESNO CO.,(FAT) AIR TERMINAL,3/28/1998,1905,2074989,19,HNX
5637615,FRESNO CO.,PARLIER,3/28/1998,1915,2074989,19,HNX
5637743,KERN CO.,OLD RIVER,5/5/1998,20,2075350,29,HNX
5637741,KERN CO.,BAKERSFIELD,5/5/1998,1430,2075349,29,HNX
5636143,FRESNO CO.,PARLIER,6/6/1998,1645,2075359,19,HNX
5636146,MERCED CO.,MERCED,6/6/1998,1905,2075359,47,HNX
5653977,LOS ANGELES CO.,WEST COVINA,7/20/1998,700,2079174,37,LOX
5664006,SAN BERNARDINO CO.,LUCERNE VLY,8/11/1998,1330,2148998,71,SGX
5668396,KERN CO.,BAKERSFIELD,9/2/1998,1409,2149593,29,HNX
5696372,LOS ANGELES CO.,PALMDALE,5/23/1999,530,2405019,37,LOX
5701492,KERN CO.,TEHACHAPI,7/11/1999,1330,2408070,29,HNX
5701593,KERN CO.,METTLER,7/12/1999,1306,2406906,29,HNX
5701588,KERN CO.,INYOKERN,7/13/1999,1430,1081967,29,HNX
5706561,LOS ANGELES CO.,PALMDALE,7/13/1999,1430,2408455,37,LOX
5709104,FRESNO CO.,HUNTINGTON LAKE,8/10/1999,1210,2410384,19,HNX
5721711,MARIPOSA CO.,COULTERVILLE,9/9/1999,1030,2414584,43,HNX
5717072,CALAVERAS CO.,COUNTYWIDE,9/9/1999,1200,2412726,9,STO
5716990,NEVADA CO.,CEDAR RIDGE,9/9/1999,1200,2412725,57,STO
