EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EPISODE_ID,CZ_FIPS,WFO,END_LOCATION
5549398,VENTURA CO.,FILLMORE,4/28/1996,1400,2030635,111,LOX,FILLMORE
5549399,RIVERSIDE CO.,RUBIDOUX,4/29/1996,900,2030636,65,LOX,RUBIDOUX
5545326,VENTURA CO.,FILLMORE,5/1/1996,0,2032515,111,LOX,FILLMORE
5545327,RIVERSIDE CO.,RIVERSIDE,5/11/1996,1600,2032516,65,LOX,RIVERSIDE
5575790,CALAVERAS CO.,T-C RANGER UNIT,8/12/1996,,2055490,9,STO,T-C RANGER UNIT
5575788,TUOLUMNE CO.,STANISLAUS NAT. FOR.,8/14/1996,730,2055489,109,STO,STANISLAUS NAT. FOR.
5575789,TUOLUMNE CO.,YOSEMITE NAT. PARK,8/14/1996,800,1030064,109,STO,YOSEMITE NAT. PARK
5578331,MONTEREY CO.,CAMBRIA,10/7/1996,0,2054630,53,MTR,CARMEL
5578493,MONTEREY CO.,BIG SUR,10/18/1996,700,2054631,53,MTR,BIG SUR
5564248,LOS ANGELES CO.,MALIBU,10/21/1996,800,2048455,37,LOX,MALIBU
5564249,ORANGE CO.,LEMON HEIGHTS,10/21/1996,900,2048456,59,LOX,LEMON HEIGHTS
5576435,SAN DIEGO CO.,HARMONY GROVE,10/21/1996,1400,2055579,73,SGX,OTAY
5608767,KERN CO.,TAFT,5/16/1997,1600,1043981,29,HNX,TAFT
5600707,SANTA BARBARA CO.,HAPPY CANYON,5/27/1997,1715,2062672,83,LOX,HAPPY CANYON
5624135,SOLANO CO.,SUISUN CITY,5/29/1997,1510,2071742,95,STO,SUISUN CITY
5624140,TEHAMA CO.,COUNTYWIDE,6/29/1997,1400,1050620,103,STO,COUNTYWIDE
5624141,SHASTA CO.,REDDING,6/29/1997,1400,1050620,89,STO,REDDING
5624145,SHASTA CO.,MANZANITA LAKE,7/30/1997,1500,2071747,89,STO,MANZANITA LAKE
5615458,SAN DIEGO CO.,VALLEY CENTER,8/1/1997,1300,2067902,73,SGX,VALLEY CENTER
5609942,VENTURA CO.,PIRU,8/5/1997,1200,2067135,111,LOX,PIRU
5608839,FRESNO CO.,FRESNO,8/6/1997,1300,1043984,19,HNX,FRESNO
